automated_name	n_proteins	detected_in_input	detected_in_phospho	detected_in_input_norm_phospho
c101594-g1 1-to-1 SNW1 SNW domain containing 1	1	TRUE	TRUE	TRUE
c101595-g1 1-to-1 KIAA1524 KIAA1524	1	TRUE	FALSE	FALSE
c101596-g1 1-to-1 EEF2K eukaryotic elongation factor 2 kinase	2	TRUE	TRUE	TRUE
c101597-g1 yosW, Bacillus subtilis (strain 168)	1	TRUE	TRUE	TRUE
c101598-g1 1-to-3 CTNNA1,CTNNA2,CTNNA3 catenin alpha 1	1	FALSE	TRUE	FALSE
c101598-g3 1-to-3 TRAM2,TRAM1,TRAM1L1 translocation associated membrane protein 2	1	TRUE	FALSE	FALSE
c101599-g1 (enoyl-CoA hydratase isomerase family protein) - emapper OG	1	TRUE	FALSE	FALSE
c101600-g1 TAF4 (TATA-box binding protein associated factor 4) - blastp	1	TRUE	TRUE	TRUE
c101601-g1	1	TRUE	FALSE	FALSE
c101602-g1	1	TRUE	FALSE	FALSE
c101603-g1 ATG16L1 (autophagy related 16-like 1 (S. cerevisiae)) - emapper OG	3	TRUE	FALSE	FALSE
c101604-g1 dm-Blos3	1	TRUE	TRUE	TRUE
c101605-g1 1-to-1 TRAPPC8 trafficking protein particle complex 8	3	TRUE	TRUE	TRUE
c101608-g1 1-to-1 ALDH18A1 aldehyde dehydrogenase 18 family member A1	2	TRUE	TRUE	TRUE
c101609-g1 TOX4 (TOX high mobility group box family member 4) - emapper OG	1	FALSE	TRUE	FALSE
c101610-g1 PIKFYVE (Phosphoinositide kinase, FYVE finger containing) - emapper OG	1	TRUE	TRUE	TRUE
c101610-g2 1-to-1 PIKFYVE phosphoinositide kinase, FYVE-type zinc finger containing	2	TRUE	TRUE	TRUE
c101611-g1 2-to-6 LIPA,LIPJ,LIPF,LIPK... lipase A, lysosomal acid type	1	TRUE	FALSE	FALSE
c101612-g1 1-to-2 PPA2,PPA1 pyrophosphatase (inorganic) 2	1	TRUE	TRUE	TRUE
c101615-g1 1-to-1 ZBTB8OS zinc finger and BTB domain containing 8 opposite strand	1	TRUE	FALSE	FALSE
c101617-g1 hs-CERS1,ELOVL6,CERS5,CERS4,ELOVL3,CLN8,TMEM164,CERS2..	1	TRUE	FALSE	FALSE
c101618-g1 hs-CENPQ,DSN1,C20orf96,HAUS8,TEX12,GORAB	1	TRUE	TRUE	TRUE
c101619-g1 1-to-1 DOK5 docking protein 5	1	TRUE	TRUE	TRUE
c101620-g1 1-to-1 ZPR1 ZPR1 zinc finger	1	TRUE	TRUE	TRUE
c101621-g1 1-to-1 PARP1 poly(ADP-ribose) polymerase 1	3	TRUE	TRUE	FALSE
c101624-g1 KLHDC8B (kelch domain containing 8B) - blastp	1	TRUE	TRUE	TRUE
c101626-g1 1-to-1 CLN5 ceroid-lipofuscinosis, neuronal 5	1	TRUE	FALSE	FALSE
c101628-g1 1-to-1 PARP2 poly(ADP-ribose) polymerase 2	2	TRUE	TRUE	TRUE
c101632-g1 1-to-1 CPT2 carnitine palmitoyltransferase 2	1	TRUE	FALSE	FALSE
c101634-g1 1-to-1 TBCC tubulin folding cofactor C	3	TRUE	TRUE	FALSE
c101635-g1 1-to-4 GRSF1,HNRNPH1,HNRNPH2,HNRNPF G-rich RNA sequence binding factor 1	1	TRUE	TRUE	TRUE
c101637-g1 AGPAT5 (1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsi	1	TRUE	FALSE	FALSE
c101641-g1 6-to-1 PRSS12 protease, serine 12	1	TRUE	FALSE	FALSE
c101642-g1 1-to-1 MRPS18A mitochondrial ribosomal protein S18A	1	TRUE	FALSE	FALSE
c101643-g1 1-to-3 SLC44A4,SLC44A2,SLC44A5 solute carrier family 44 member 4	1	TRUE	TRUE	TRUE
c101644-g1 1-to-1 CMPK2 cytidine/uridine monophosphate kinase 2	2	TRUE	FALSE	FALSE
c101648-g1 (ras-related protein) - emapper OG	1	TRUE	FALSE	FALSE
c101649-g2 hs-NCMAP,C10orf105,SPAAR,SMAGP,C1orf162,C3orf18,OPALI..	1	FALSE	TRUE	FALSE
c101650-g1 DTX3 (deltex 3, E3 ubiquitin ligase) - blastp	2	TRUE	TRUE	TRUE
c101650-g2 (family member) - emapper OG	1	TRUE	FALSE	FALSE
c101652-g1 1-to-1 KDM1B lysine demethylase 1B	1	TRUE	FALSE	FALSE
c101654-g1 RAB7L1 (RAB7, member RAS oncogene family-like 1) - emapper OG	1	TRUE	TRUE	TRUE
c101655-g1 1-to-1 BECN1 beclin 1	2	TRUE	TRUE	FALSE
c101656-g1 2-to-1 SAMHD1 SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	2	TRUE	TRUE	TRUE
c101657-g1 1-to-1 GHITM growth hormone inducible transmembrane protein	1	TRUE	FALSE	FALSE
c101659-g1 (Inherit from euNOG: Phosphatase and actin regulator 2) - emapper OG	1	TRUE	TRUE	TRUE
c101660-g1 OPA1 (optic atrophy 1 (autosomal dominant)) - emapper OG	2	TRUE	FALSE	FALSE
c101661-g1 1-to-1 PCNP PEST proteolytic signal containing nuclear protein	1	TRUE	TRUE	TRUE
c101662-g1 (Inherit from euNOG: Protein of unknown function, DUF547) - emapper OG	1	TRUE	FALSE	FALSE
c101663-g1 1-to-1 UCHL5 ubiquitin C-terminal hydrolase L5	3	TRUE	TRUE	TRUE
c101664-g5 1-to-1 TRRAP transformation/transcription domain associated protein	4	TRUE	TRUE	TRUE
c101666-g1	1	TRUE	FALSE	FALSE
c101667-g1 CTSA (cathepsin A) - emapper OG	1	TRUE	FALSE	FALSE
c101667-g2 CTSA (cathepsin A) - emapper OG	1	TRUE	FALSE	FALSE
c101668-g1 2-to-1 ACOX3 acyl-CoA oxidase 3, pristanoyl	1	TRUE	FALSE	FALSE
c101670-g1 1-to-3 PFKL,PFKM,PFKP phosphofructokinase, liver type	2	TRUE	TRUE	TRUE
c101671-g1 1-to-1 PRPF3 pre-mRNA processing factor 3	1	TRUE	TRUE	TRUE
c101672-g1 1-to-1 TBC1D23 TBC1 domain family member 23	1	TRUE	FALSE	FALSE
c101673-g1 FYCO1 (FYVE and coiled-coil domain containing 1) - emapper OG	1	FALSE	TRUE	FALSE
c101676-g4 1-to-1 MARF1 meiosis regulator and mRNA stability factor 1	7	TRUE	TRUE	TRUE
c101677-g1 1-to-1 EPS8L2 EPS8 like 2	2	TRUE	TRUE	TRUE
c101678-g2 1-to-1 ABHD6 abhydrolase domain containing 6	3	TRUE	TRUE	TRUE
c101681-g1 1-to-1 CFDP1 craniofacial development protein 1	1	TRUE	TRUE	TRUE
c101682-g1 1-to-2 LMAN1,LMAN1L lectin, mannose binding 1	1	TRUE	FALSE	FALSE
c101684-g1 LWR (Ubiquitin-conjugating enzyme) - emapper OG	1	TRUE	FALSE	FALSE
c101686-g1 1-to-1 VAC14 Vac14, PIKFYVE complex component	1	TRUE	TRUE	TRUE
c101689-g1 1-to-1 SNX4 sorting nexin 4	1	TRUE	TRUE	TRUE
c101691-g1 1-to-2 FAM76A,FAM76B family with sequence similarity 76 member A	1	TRUE	TRUE	TRUE
c101692-g1 1-to-1 GCAT glycine C-acetyltransferase	1	TRUE	FALSE	FALSE
c101694-g1 hs-CXCL16,KITLG	1	TRUE	TRUE	TRUE
c101695-g1 2-to-2 PRODH,AC007325.2 proline dehydrogenase 1	1	TRUE	FALSE	FALSE
c101696-g1 (DnaJ) - emapper OG	1	TRUE	FALSE	FALSE
c101697-g1 2-to-1 SLC25A20 solute carrier family 25 member 20	1	TRUE	FALSE	FALSE
c101699-g1 1-to-2 ISY1,ISY1-RAB43 ISY1 splicing factor homolog	1	TRUE	TRUE	TRUE
c101700-g1 1-to-1 PPP1R37 protein phosphatase 1 regulatory subunit 37	1	TRUE	TRUE	TRUE
c101700-g2 2-to-1 PPP1R37 protein phosphatase 1 regulatory subunit 37	1	TRUE	FALSE	FALSE
c101701-g1 1-to-1 CPSF7 cleavage and polyadenylation specific factor 7	1	TRUE	TRUE	TRUE
c101702-g6 ADK (adenosine kinase) - emapper OG	1	TRUE	TRUE	TRUE
c101704-g2	5	TRUE	TRUE	TRUE
c101705-g1 1-to-1 TMEM62 transmembrane protein 62	1	TRUE	FALSE	FALSE
c101706-g1 1-to-3 TMED1,TMED6,TMED5 transmembrane p24 trafficking protein 1	1	TRUE	FALSE	FALSE
c101707-g1 1-to-1 ASCC2 activating signal cointegrator 1 complex subunit 2	1	TRUE	FALSE	FALSE
c101708-g1 1-to-1 RAB20 RAB20, member RAS oncogene family	1	TRUE	FALSE	FALSE
c101709-g1 2-to-1 SLC8B1 solute carrier family 8 member B1	1	TRUE	TRUE	TRUE
c101710-g1 TSPAN11 (tetraspanin 11) - blastp	3	TRUE	TRUE	FALSE
c101711-g1 (ANK) - emapper OG	2	TRUE	TRUE	FALSE
c101712-g1 ANK2 (ANK) - emapper OG	1	TRUE	FALSE	FALSE
c101713-g1	2	TRUE	TRUE	TRUE
c101713-g2 1-to-2 LRRC7,ERBIN leucine rich repeat containing 7	3	TRUE	TRUE	FALSE
c101714-g1 AGMAT (Agmatine ureohydrolase (Agmatinase)) - emapper OG	1	TRUE	FALSE	FALSE
c101715-g1 1-to-3 ARHGAP24,ARHGAP25,ARHGAP22 Rho GTPase activating protein 24	1	TRUE	TRUE	TRUE
c101718-g1 2-to-1 SLC25A11 solute carrier family 25 member 11	1	TRUE	FALSE	FALSE
c101720-g1 1-to-1 ADO 2-aminoethanethiol dioxygenase	1	TRUE	FALSE	FALSE
c101721-g1 1-to-1 SGPL1 sphingosine-1-phosphate lyase 1	1	TRUE	TRUE	TRUE
c101724-g1 PTPRB (protein tyrosine phosphatase, receptor type, B) - blastp	1	TRUE	FALSE	FALSE
c101727-g1	1	TRUE	FALSE	FALSE
c101729-g1 1-to-2 NMNAT3,NMNAT1 nicotinamide nucleotide adenylyltransferase 3	1	TRUE	FALSE	FALSE
c101730-g1	2	TRUE	FALSE	FALSE
c101731-g1 (Inherit from opiNOG: cytoplasm protein) - emapper OG	1	TRUE	TRUE	TRUE
c101731-g2	1	TRUE	FALSE	FALSE
c101732-g1 1-to-2 PPM1F,PPM1E protein phosphatase, Mg2+/Mn2+ dependent 1F	1	TRUE	TRUE	TRUE
c101734-g2 (Xylose isomerase) - emapper OG	1	TRUE	TRUE	TRUE
c101735-g1 1-to-1 SUDS3 SDS3 homolog, SIN3A corepressor complex component	1	TRUE	TRUE	TRUE
c101736-g2 3-to-4 RAB3D,RAB3A,RAB3C,RAB3B RAB3D, member RAS oncogene family	1	TRUE	TRUE	TRUE
c101737-g1 6-to-3 FLNC,FLNA,FLNB filamin C	2	TRUE	FALSE	FALSE
c101738-g1 1-to-1 DCAF11 DDB1 and CUL4 associated factor 11	1	TRUE	FALSE	FALSE
c101738-g2 1-to-2 SEC61A1,SEC61A2 Sec61 translocon alpha 1 subunit	1	TRUE	FALSE	FALSE
c101739-g4	1	TRUE	FALSE	FALSE
c101739-g5 DUOX1 (Dual oxidase) - emapper OG	2	TRUE	FALSE	FALSE
c101739-g6 DUOX1 (Dual oxidase) - emapper OG	1	TRUE	FALSE	FALSE
c101741-g1 1-to-1 TUBGCP6 tubulin gamma complex associated protein 6	1	TRUE	TRUE	TRUE
c101745-g1 SLC11A2 (solute carrier family 11 (proton-coupled divalent metal ion transporters), member) - emapp	1	TRUE	FALSE	FALSE
c101746-g1 1-to-1 DAPK1 death associated protein kinase 1	1	TRUE	TRUE	TRUE
c101748-g1 1-to-4 SLC12A7,SLC12A6,SLC12A5,SLC12A4 solute carrier family 12 member 7	4	TRUE	TRUE	TRUE
c101752-g1 FLNB (Filamin A, alpha) - emapper OG	1	TRUE	TRUE	TRUE
c101753-g1 1-to-1 NFX1 nuclear transcription factor, X-box binding 1	2	TRUE	TRUE	TRUE
c101754-g1 1-to-1 MCCC2 methylcrotonoyl-CoA carboxylase 2	1	TRUE	FALSE	FALSE
c101755-g1 1-to-1 KATNB1 katanin regulatory subunit B1	1	TRUE	TRUE	TRUE
c101756-g1 1-to-1 GRAMD4 GRAM domain containing 4	2	TRUE	TRUE	TRUE
c101757-g1 1-to-2 SCD5,SCD stearoyl-CoA desaturase 5	1	TRUE	FALSE	FALSE
c101758-g1 2-to-2 ADAP2,ADAP1 ArfGAP with dual PH domains 2	1	TRUE	TRUE	TRUE
c101759-g2	2	FALSE	TRUE	FALSE
c101760-g2 1-to-1 PIWIL2 piwi like RNA-mediated gene silencing 2	3	TRUE	TRUE	FALSE
c101762-g1 1-to-1 NAMPT nicotinamide phosphoribosyltransferase	1	TRUE	FALSE	FALSE
c101764-g1 1-to-3 SMARCD3,SMARCD1,SMARCD2 SWI/SNF related, matrix associated, actin dependent regulator of chr	1	TRUE	TRUE	TRUE
c101765-g1 1-to-4 WNK4,WNK2,WNK1,WNK3 WNK lysine deficient protein kinase 4	4	TRUE	TRUE	TRUE
c101766-g1 ATG7 (autophagy related 7) - emapper OG	1	TRUE	TRUE	TRUE
c101767-g1 1-to-1 CUL5 cullin 5	3	TRUE	TRUE	TRUE
c101768-g1	1	FALSE	TRUE	FALSE
c101768-g2	1	FALSE	TRUE	FALSE
c101768-g3	1	TRUE	TRUE	TRUE
c101769-g1 TRIM2 (Inherit from KOG: listerin E3 ubiquitin protein ligase 1) - emapper OG	1	TRUE	FALSE	FALSE
c101769-g2 8-to-1 TRIM71 tripartite motif containing 71	1	TRUE	FALSE	FALSE
c101770-g1 1-to-1 GALE UDP-galactose-4-epimerase	1	TRUE	FALSE	FALSE
c101771-g1 1-to-2 EIF2S3,AC068775.1 eukaryotic translation initiation factor 2 subunit gamma	1	TRUE	FALSE	FALSE
c101772-g1 1-to-1 NOP53 NOP53 ribosome biogenesis factor	1	TRUE	TRUE	TRUE
c101774-g1 1-to-2 MPP6,MPP2 membrane palmitoylated protein 6	1	TRUE	TRUE	TRUE
c101776-g3 CYP27B1 (Cytochrome P450 family 27 subfamily) - emapper OG	1	TRUE	FALSE	FALSE
c101777-g1 (Chondroitin N-acetylgalactosaminyltransferase) - emapper OG	1	TRUE	FALSE	FALSE
c101779-g1 1-to-1 CNOT9 CCR4-NOT transcription complex subunit 9	1	TRUE	TRUE	TRUE
c101782-g1 1-to-1 FAM193A family with sequence similarity 193 member A	4	TRUE	TRUE	TRUE
c101782-g7 hs-MTX2,GSTO2,GSTO1,GSTZ1,GDAP1L1,CLIC4,CLIC2,GSTA4,C..	1	TRUE	FALSE	FALSE
c101783-g1 1-to-1 MAPKAPK5 mitogen-activated protein kinase-activated protein kinase 5	1	TRUE	TRUE	TRUE
c101784-g2 1-to-1 USH2A usherin	1	FALSE	TRUE	FALSE
c101785-g1 1-to-1 TRAPPC4 trafficking protein particle complex 4	1	TRUE	FALSE	FALSE
c101791-g1 SUGP1 (SURP and G-patch domain containing 1) - blastp	1	FALSE	TRUE	FALSE
c101793-g1 (JAB-MPN) - emapper OG	1	TRUE	TRUE	TRUE
c101794-g1 1-to-1 PEBP1 phosphatidylethanolamine binding protein 1	2	TRUE	FALSE	FALSE
c101796-g1 1-to-1 DNAJC3 DnaJ heat shock protein family (Hsp40) member C3	1	TRUE	FALSE	FALSE
c101797-g1 (Inherit from KOG: Ferric-chelate reductase) - emapper OG	1	TRUE	TRUE	TRUE
c101798-g1 1-to-1 EFTUD2 elongation factor Tu GTP binding domain containing 2	2	TRUE	TRUE	TRUE
c101799-g1 YTHDF2 (YTH domain family) - emapper OG	1	TRUE	FALSE	FALSE
c101801-g1 1-to-1 IDH3G isocitrate dehydrogenase 3 (NAD(+)) gamma	1	TRUE	FALSE	FALSE
c101804-g1 1-to-1 RPA1 replication protein A1	1	TRUE	TRUE	TRUE
c101805-g1 1-to-2 GRIP1,GRIP2 glutamate receptor interacting protein 1	1	FALSE	TRUE	FALSE
c101805-g2 1-to-1 NIPBL NIPBL, cohesin loading factor	3	TRUE	TRUE	FALSE
c101805-g3 1-to-2 GRIP1,GRIP2 glutamate receptor interacting protein 1	1	FALSE	TRUE	FALSE
c101806-g1 hs-MUL1	1	TRUE	FALSE	FALSE
c101807-g2 2-to-1 CAT catalase	1	TRUE	TRUE	TRUE
c101807-g3 2-to-1 CAT catalase	1	TRUE	TRUE	TRUE
c101808-g1 (collagen, type) - emapper OG	1	TRUE	FALSE	FALSE
c101809-g2 CTSZ (Cathepsin Z) - emapper OG	1	TRUE	FALSE	FALSE
c101810-g1 ATF2 (Activating transcription factor) - emapper OG	2	TRUE	TRUE	TRUE
c101811-g1 1-to-1 RTCB RNA 2',3'-cyclic phosphate and 5'-OH ligase	1	TRUE	TRUE	TRUE
c101812-g1 LRRK2 (leucine-rich repeat kinase 2) - blastp	3	TRUE	TRUE	TRUE
c101813-g1 ZADH2 (Zinc binding alcohol dehydrogenase, domain containing 2) - emapper OG	1	TRUE	TRUE	TRUE
c101814-g1 (ubiquitin) - emapper OG	1	FALSE	TRUE	FALSE
c101815-g1 (oxidoreductase activity) - emapper OG	1	TRUE	FALSE	FALSE
c101816-g1 1-to-1 MGAT1 mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	1	TRUE	FALSE	FALSE
c101818-g1 (H1 histone family, member 0) - emapper OG	1	TRUE	TRUE	TRUE
c101820-g1 1-to-1 NELFB negative elongation factor complex member B	1	TRUE	FALSE	FALSE
c101821-g1 (Inherit from opiNOG: Oxysterol-binding protein) - emapper OG	2	TRUE	TRUE	FALSE
c101822-g1 AKT3 (v-akt murine thymoma viral oncogene homolog) - emapper OG	2	TRUE	TRUE	TRUE
c101826-g1 2-to-1 ASPG asparaginase	1	TRUE	FALSE	FALSE
c101828-g1 ARSB (Arylsulfatase) - emapper OG	1	TRUE	FALSE	FALSE
c101829-g1 hs-ISX,RAX,NKX2-8,PRRX1,ALX1,NKX2-6,OTP,HOXB3,VAX2,PR..	1	FALSE	TRUE	FALSE
c101831-g1 1-to-3 RASSF1,RASSF3,RASSF5 Ras association domain family member 1	1	TRUE	TRUE	TRUE
c101832-g1 1-to-2 RHOT2,RHOT1 ras homolog family member T2	3	TRUE	TRUE	TRUE
c101833-g1 per, Drosophila equinoxialis	1	TRUE	TRUE	TRUE
c101834-g1 1-to-1 AIFM1 apoptosis inducing factor mitochondria associated 1	1	TRUE	TRUE	TRUE
c101836-g1 (Inherit from opiNOG: ArfGAP with coiled-coil, ankyrin repeat and PH domains) - emapper OG	1	TRUE	TRUE	TRUE
c101838-g2 1-to-1 ZDHHC6 zinc finger DHHC-type containing 6	1	TRUE	FALSE	FALSE
c101841-g1 (MYSc) - emapper OG	1	TRUE	FALSE	FALSE
c101843-g1 1-to-1 TRAPPC13 trafficking protein particle complex 13	1	TRUE	FALSE	FALSE
c101843-g2 1-to-1 HSPB11 heat shock protein family B (small) member 11	1	TRUE	FALSE	FALSE
c101844-g1 1-to-1 VTA1 vesicle trafficking 1	1	TRUE	FALSE	FALSE
c101845-g2 1-to-2 GPAT4,GPAT3 glycerol-3-phosphate acyltransferase 4	1	TRUE	FALSE	FALSE
c101846-g1 1-to-1 METTL14 methyltransferase like 14	3	TRUE	TRUE	FALSE
c101847-g1 5-to-9 SLC26A4,SLC26A2,SLC26A5,SLC26A7... solute carrier family 26 member 4	2	TRUE	TRUE	TRUE
c101848-g1 (Small GTP binding protein rab1a) - emapper OG	2	TRUE	TRUE	FALSE
c101852-g1 3-to-1 TMEM79 transmembrane protein 79	1	TRUE	FALSE	FALSE
c101854-g1 1-to-1 CXorf56 chromosome X open reading frame 56	1	TRUE	TRUE	TRUE
c101856-g1 1-to-1 LRRC59 leucine rich repeat containing 59	1	TRUE	FALSE	FALSE
c101857-g1 hs-GSTK1	1	TRUE	TRUE	TRUE
c101859-g1 NOVA1 (Neuro-oncological ventral antigen) - emapper OG	1	TRUE	TRUE	TRUE
c101860-g1 1-to-1 MIB1 mindbomb E3 ubiquitin protein ligase 1	1	TRUE	TRUE	TRUE
c101860-g2 hs-HLF,DBP,CEBPD,TEF,CEBPE,NRL,MAFB,CEBPB,ATF5,MAF,CE..	1	FALSE	TRUE	FALSE
c101861-g1 1-to-1 TP53I3 tumor protein p53 inducible protein 3	1	TRUE	FALSE	FALSE
c101862-g1 gI, Psittacid herpesvirus 1 (isolate Amazon parrot..	1	TRUE	FALSE	FALSE
c101863-g1 NPHP1 (nephronophthisis 1 (juvenile)) - emapper OG	1	FALSE	TRUE	FALSE
c101864-g1 2-to-1 MARS methionyl-tRNA synthetase	1	TRUE	TRUE	TRUE
c101867-g2 PARP15 (poly(ADP-ribose) polymerase family member 15) - blastp	1	TRUE	FALSE	FALSE
c101868-g2 RNASE2, Saguinus oedipus	1	TRUE	FALSE	FALSE
c101870-g1	1	TRUE	TRUE	TRUE
c101871-g1 1-to-1 SDCCAG3 serologically defined colon cancer antigen 3	1	TRUE	TRUE	TRUE
c101871-g3 1-to-1 BCAS2 BCAS2, pre-mRNA processing factor	1	TRUE	FALSE	FALSE
c101874-g8 3-to-1 ABCC4 ATP binding cassette subfamily C member 4	1	TRUE	FALSE	FALSE
c101876-g1 1-to-2 TBC1D24,AC093525.2 TBC1 domain family member 24	1	TRUE	FALSE	FALSE
c101877-g2	1	TRUE	FALSE	FALSE
c101878-g1 1-to-1 RRS1 ribosome biogenesis regulator homolog	1	TRUE	TRUE	TRUE
c101881-g1 1-to-1 IGDCC4 immunoglobulin superfamily DCC subclass member 4	1	TRUE	TRUE	TRUE
c101882-g1 (copine family) - emapper OG	1	TRUE	FALSE	FALSE
c101883-g2 AIM21, Lachancea thermotolerans (strain ATCC 56472..	1	FALSE	TRUE	FALSE
c101886-g1 LYPLA1 (Lysophospholipase) - emapper OG	1	TRUE	TRUE	TRUE
c101887-g1 1-to-3 SLCO4A1,SLCO4C1,SLCO6A1 solute carrier organic anion transporter family member 4A1	1	FALSE	TRUE	FALSE
c101890-g1 3-to-1 CA10 carbonic anhydrase 10	1	TRUE	FALSE	FALSE
c101892-g1 1-to-15 USP6NL,TBC1D28,TBC1D26,TBC1D3G... USP6 N-terminal like	3	TRUE	TRUE	TRUE
c101893-g1 1-to-1 SRRM2 serine/arginine repetitive matrix 2	1	TRUE	TRUE	TRUE
c101894-g1 (Inherit from euNOG: Inter-alpha-trypsin inhibitor heavy chain) - emapper OG	1	FALSE	TRUE	FALSE
c101895-g2 1-to-1 CUL9 cullin 9	2	TRUE	FALSE	FALSE
c101896-g1 1-to-2 TM9SF1,AL136295.1 transmembrane 9 superfamily member 1	1	TRUE	FALSE	FALSE
c101897-g1 hs-CT45A8,CT45A9,CT45A2	1	FALSE	TRUE	FALSE
c101898-g5 per, Drosophila picticornis	1	FALSE	TRUE	FALSE
c101899-g1 (Inherit from KOG: Ubiquitin protein ligase E3 component n-recognin 5) - emapper OG	2	TRUE	TRUE	TRUE
c101900-g1 (Inherit from KOG: Tyrosine kinase) - emapper OG	1	TRUE	TRUE	TRUE
c101901-g1 HADHB (hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (trifunctional pro	1	TRUE	TRUE	TRUE
c101902-g1 1-to-1 PUS7 pseudouridylate synthase 7 (putative)	3	TRUE	FALSE	FALSE
c101903-g2 PARP11 (Poly (ADP-ribose) polymerase family, member 11) - emapper OG	1	TRUE	FALSE	FALSE
c101906-g1 1-to-2 WDFY3,WDFY4 WD repeat and FYVE domain containing 3	2	TRUE	TRUE	TRUE
c101907-g1 LMOD1 (leiomodin 1 (smooth muscle)) - emapper OG	1	TRUE	FALSE	FALSE
c101908-g1 hs-ZNF436-AS1	1	TRUE	FALSE	FALSE
c101909-g1 1-to-1 EEF1AKMT2 EEF1A lysine methyltransferase 2	1	TRUE	FALSE	FALSE
c101910-g1 SPRYD3 (SPRY domain containing 3) - emapper OG	1	TRUE	FALSE	FALSE
c101912-g1 3-to-5 SCAMP2,SCAMP3,SCAMP4,SCAMP5... secretory carrier membrane protein 2	1	TRUE	TRUE	TRUE
c101912-g2 3-to-5 SCAMP2,SCAMP3,SCAMP4,SCAMP5... secretory carrier membrane protein 2	1	TRUE	FALSE	FALSE
c101913-g1 1-to-1 TAT tyrosine aminotransferase	1	TRUE	FALSE	FALSE
c101914-g1 P4HA2 (Prolyl 4-hydroxylase, alpha polypeptide) - emapper OG	1	TRUE	FALSE	FALSE
c101918-g1	2	TRUE	TRUE	TRUE
c101919-g1 (guanylate cyclase 1, soluble) - emapper OG	1	TRUE	TRUE	TRUE
c101920-g1 1-to-2 GORASP2,GORASP1 golgi reassembly stacking protein 2	1	TRUE	TRUE	TRUE
c101920-g2 1-to-2 PSTPIP2,PSTPIP1 proline-serine-threonine phosphatase interacting protein 2	1	TRUE	TRUE	TRUE
c101922-g1 LRRC47 (Leucine rich repeat containing 47) - emapper OG	1	TRUE	TRUE	TRUE
c101924-g1 (Inherit from COG: Thioredoxin) - emapper OG	1	TRUE	FALSE	FALSE
c101926-g2 3-to-2 HECW2,HECW1 HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	2	TRUE	TRUE	TRUE
c101927-g2 RNF217 (RING finger protein 217) - emapper OG	1	TRUE	FALSE	FALSE
c101928-g1 1-to-2 CAMKK1,CAMKK2 calcium/calmodulin dependent protein kinase kinase 1	2	TRUE	TRUE	TRUE
c101928-g2 NKX6-3 (NK6 homeobox 3) - emapper OG	1	TRUE	TRUE	TRUE
c101929-g1 1-to-1 CEP152 centrosomal protein 152	1	FALSE	TRUE	FALSE
c101930-g3 MEC-2 (Stomatin) - emapper OG	1	TRUE	TRUE	TRUE
c101931-g1 STX5 (Syntaxin 5) - emapper OG	1	TRUE	FALSE	FALSE
c101932-g1 PIK3R3 (Phosphoinositide-3-kinase, regulatory subunit) - emapper OG	1	TRUE	TRUE	TRUE
c101933-g1 1-to-1 MOGS mannosyl-oligosaccharide glucosidase	2	TRUE	FALSE	FALSE
c101935-g1 1-to-1 FAM91A1 family with sequence similarity 91 member A1	1	TRUE	TRUE	TRUE
c101936-g1 1-to-1 PSMF1 proteasome inhibitor subunit 1	1	TRUE	FALSE	FALSE
c101937-g1 KCTD9 (potassium channel tetramerisation domain containing 9) - emapper OG	2	TRUE	TRUE	FALSE
c101938-g1 1-to-1 CCNDBP1 cyclin D1 binding protein 1	1	TRUE	FALSE	FALSE
c101940-g2 2-to-3 IQSEC2,IQSEC3,IQSEC1 IQ motif and Sec7 domain 2	2	TRUE	TRUE	FALSE
c101940-g3 5-to-1 IQSEC2 IQ motif and Sec7 domain 2	2	FALSE	TRUE	FALSE
c101940-g4 IQD15, Arabidopsis thaliana	1	FALSE	TRUE	FALSE
c101941-g1 GTF2B (general transcription factor IIB) - blastp	1	TRUE	FALSE	FALSE
c101943-g1 ORC4 (origin recognition complex subunit 4) - blastp	3	TRUE	TRUE	FALSE
c101944-g1 2-to-2 PPIP5K1,PPIP5K2 diphosphoinositol pentakisphosphate kinase 1	5	TRUE	TRUE	TRUE
c101945-g1 1-to-2 PRPSAP2,PRPSAP1 phosphoribosyl pyrophosphate synthetase associated protein 2	1	TRUE	TRUE	TRUE
c101946-g2 1-to-1 PCCA propionyl-CoA carboxylase alpha subunit	1	TRUE	TRUE	TRUE
c101947-g1 1-to-1 VMP1 vacuole membrane protein 1	1	TRUE	FALSE	FALSE
c101949-g1 1-to-1 ATG5 autophagy related 5	1	TRUE	TRUE	TRUE
c101950-g1 2-to-4 PFKFB4,PFKFB2,PFKFB1,PFKFB3 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	1	TRUE	TRUE	TRUE
c101951-g1 1-to-3 STON1-GTF2A1L,GTF2A1L,GTF2A1 STON1-GTF2A1L readthrough	1	TRUE	FALSE	FALSE
c101951-g2 Ken-158, African swine fever virus (isolate Pig/Ke..	1	TRUE	FALSE	FALSE
