automated_name	Gene	Gene.short	clean_annotation_name	clean_annotation_name_fixed	is_hit_or_candidate	n_phosphosites	n_hits	n_candidates	comparisons_with_hit_or_candidate	Figure4D	Figure4E	in_original_modules	missing_from_original_modules	has_annotation	Plot_Module	Label_Name_orig	Actin dynamics	Actin network assembly	Actomyosin contractility	Apoptosis	Cdc42 GTPase signaling	Chaperone	Differentiation (gland cell related)	Differentiation (muscle cell related)	Differentiation (reproductive cell related)	Differentiation of spicule cells	Exocytosis	GPCR signaling	Hematopoietic identity transcription activity	JNK/p38 MAPK signaling	Lysosomal transporter	Lysosomes	Metabolism	Microtubule dynamics	MTORC1 signaling	MTORC2 signaling	NO signaling	Phospholipid signaling	PI3K signaling	Plasma membrane transporter	Post-synaptic scaffold	Rac1 GTPase signaling	Ras GTPase signaling	Regulation of adhesion complexes	Regulation of calcium signaling	Regulation of cAMP signaling	Regulation of cell cycle	Regulation of ciliary function	Regulation of cytoskeleton at the membrane	Regulation of inflammation	RhoA GTPase signaling	RNA processing	Stress-related transcription activity	Synaptic vesicle	Vesicular trafficking	Rho signaling
c102115-g1 (TAR DNA binding protein) - emapper OG	c102115-g1 (TAR DNA binding protein) - emapper OG	TAR DNA binding protein	TARDNAbindingprotein	TARDNAbindingprotein	TRUE	1	0	2	Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
c102116-g1 1-to-1 WDR24 WD repeat domain 24	c102116-g1 1-to-1 WDR24 WD repeat domain 24	WDR24	WDR24	WDR24	TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102709-g2 CTR9 (Ctr9, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)) - emapper OG"	"c102709-g2 CTR9 (Ctr9, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)) - emapper OG"	CTR9 (Ctr9			TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102128-g2 1-to-1 DNAI1 dynein axonemal intermediate chain 1	c102128-g2 1-to-1 DNAI1 dynein axonemal intermediate chain 1	DNAI1	DNAI1	DNAI1	TRUE	2	1	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c104875-g2 14-to-1 CYP46A1 cytochrome P450 family 46 subfamily A member 1	c104875-g2 14-to-1 CYP46A1 cytochrome P450 family 46 subfamily A member 1	CYP46A1			TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c26245-g1 1-to-3 DMD,UTRN,DRP2 dystrophin"	"c26245-g1 1-to-3 DMD,UTRN,DRP2 dystrophin"	DMD (+2)			TRUE	3	0	6	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c100964-g1 DNMBP (dynamin binding protein) - emapper OG	c100964-g1 DNMBP (dynamin binding protein) - emapper OG	DNMBP			TRUE	1	3	0	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE	TRUE		FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c79296-g1 1-to-4 CORO1A,CORO6,CORO1B,CORO1C coronin 1A"	"c79296-g1 1-to-4 CORO1A,CORO6,CORO1B,CORO1C coronin 1A"	CORO1A (+3)	"CORO1A,CORO6,CORO1B,CORO1C"	"CORO1A,CORO6,CORO1B,CORO1C"	TRUE	1	0	1	Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102146-g1 1-to-3 STK32B,STK32C,STK32A serine/threonine kinase 32B"	"c102146-g1 1-to-3 STK32B,STK32C,STK32A serine/threonine kinase 32B"	STK32B (+2)	"STK32B,STK32C,STK32A"	"STK32B,STK32C,STK32A"	TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c104495-g1 DOCK4 (dedicator of cyto-kinesis) - emapper OG	c104495-g1 DOCK4 (dedicator of cyto-kinesis) - emapper OG	DOCK4			TRUE	1	0	1	Tryptamine_15min vs DMSO_15min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102161-g1 GGA1 (golgi-associated, gamma adaptin ear containing, ARF binding protein) - emapper OG"	"c102161-g1 GGA1 (golgi-associated, gamma adaptin ear containing, ARF binding protein) - emapper OG"	GGA1 (golgi-associated	GGA1	GGA1	TRUE	1	0	1	Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
c102168-g1	c102168-g1	c102168-g1			TRUE	5	6	3	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c103091-g1 1-to-1 DDHD1 DDHD domain containing 1	c103091-g1 1-to-1 DDHD1 DDHD domain containing 1	DDHD1			TRUE	1	0	1	Tryptamine_15min vs DMSO_15min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102176-g1 1-to-1 BRD8 bromodomain containing 8	Brd8 Bromodomain containing 8	Brd8	BRD8	BRD8	TRUE	1	0	1	Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"c102177-g1 1-to-4 ATP8B4,ATP8B3,ATP8B2 ATPase phospholipid transporting 8B4 (putative)"	"c102177-g1 1-to-4 ATP8B4,ATP8B3,ATP8B2 ATPase phospholipid transporting 8B4 (putative)"	ATP8B4 (+2)	"ATP8B4,ATP8B3,ATP8B2"	"ATP8B4,ATP8B3,ATP8B2"	TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102189-g1 1-to-1 ARMT1 acidic residue methyltransferase 1	c102189-g1 1-to-1 ARMT1 acidic residue methyltransferase 1	ARMT1	ARMT1	ARMT1	TRUE	1	1	0	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c101398-g2 1-to-2 DENND5A,DENND5B DENN domain containing 5A"	"c101398-g2 1-to-2 DENND5A,DENND5B DENN domain containing 5A"	DENND5A/DENND5B			TRUE	2	0	2	Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
c102197-g1 hs-PPP1R17	c102197-g1 hs-PPP1R17	hs-PPP1R17	PPP1R17	PPP1R17	TRUE	8	1	8	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_3min vs DMSO_3min			TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102198-g2	c102198-g2	c102198-g2			TRUE	1	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102200-g1 HNRNPUL1 (heterogeneous nuclear ribonucleoprotein U-like 1) - emapper OG	c102200-g1 HNRNPUL1 (heterogeneous nuclear ribonucleoprotein U-like 1) - emapper OG	HNRNPUL1	HNRNPUL1	HNRNPUL1	TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
c102203-g2	c102203-g2	c102203-g2			TRUE	2	0	4	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c103057-g1 1-to-2 CORO7,CORO7-PAM16 coronin 7"	"c103057-g1 1-to-2 CORO7,CORO7-PAM16 coronin 7"	CORO7/CORO7-PAM16	"CORO7,CORO7-PAM16"	"CORO7,CORO7-PAM16"	TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
"c100129-g1 1-to-3 DLC1,STARD13,STARD8 DLC1 Rho GTPase activating protein"	"c100129-g1 1-to-3 DLC1,STARD13,STARD8 DLC1 Rho GTPase activating protein"	DLC1 (+2)			TRUE	2	1	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
c104151-g2 1-to-1 DLGAP5 DLG associated protein 5	c104151-g2 1-to-1 DLGAP5 DLG associated protein 5	DLGAP5			TRUE	1	0	1	Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102219-g1 1-to-4 E2F3,E2F1,E2F2,E2F6 E2F transcription factor 3"	E2f1/2/3/6 E2f transcripition factor	E2f1/2/3/6	"E2F3,E2F1,E2F2,E2F6"	"E2F3,E2F1,E2F2,E2F6"	TRUE	1	1	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102220-g4 GFPT2 (glutamine-fructose-6-phosphate transaminase 2) - emapper OG	c102220-g4 GFPT2 (glutamine-fructose-6-phosphate transaminase 2) - emapper OG	GFPT2	GFPT2	GFPT2	TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102229-g2 1-to-2 TOMM34,SPAG1 translocase of outer mitochondrial membrane 34"	"c102229-g2 1-to-2 TOMM34,SPAG1 translocase of outer mitochondrial membrane 34"	TOMM34/SPAG1	"TOMM34,SPAG1"	"TOMM34,SPAG1"	TRUE	2	0	3	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102208-g1 2-to-1 DOK7 docking protein 7	c102208-g1 2-to-1 DOK7 docking protein 7	DOK7			TRUE	3	2	7	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102234-g1 1-to-3 PPP6R3,PPP6R1,PPP6R2 protein phosphatase 6 regulatory subunit 3"	"c102234-g1 1-to-3 PPP6R3,PPP6R1,PPP6R2 protein phosphatase 6 regulatory subunit 3"	PPP6R3 (+2)	"PPP6R3,PPP6R1,PPP6R2"	"PPP6R3,PPP6R1,PPP6R2"	TRUE	2	0	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c98454-g1 1-to-1 DMAP1 DNA methyltransferase 1 associated protein 1	c98454-g1 1-to-1 DMAP1 DNA methyltransferase 1 associated protein 1	DMAP1			TRUE	1	0	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min)			FALSE	TRUE	TRUE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102241-g2	c102241-g2	c102241-g2			TRUE	2	0	4	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_30min vs DMSO_30min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c97124-g4 CORTACTIN (Hematopoietic cell-specific lyn substrate 1) - emapper OG	c97124-g4 CORTACTIN (Hematopoietic cell-specific lyn substrate 1) - emapper OG	CORTACTIN	CORTACTIN	CORTACTIN	TRUE	6	8	7	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c102258-g1	c102258-g1	c102258-g1			TRUE	1	1	2	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102262-g1 1-to-2 MYO9A,MYO9B myosin IXA"	"c102262-g1 1-to-2 MYO9A,MYO9B myosin IXA"	MYO9A/MYO9B	"MYO9A,MYO9B"	"MYO9A,MYO9B"	TRUE	3	1	5	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min	TRUE		TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
c102288-g1	c102288-g1	c102288-g1			TRUE	7	3	7	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min			FALSE	TRUE	FALSE			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"c102295-g3 1-to-2 ARHGEF10,ARHGEF10L Rho guanine nucleotide exchange factor 10"	"c102295-g3 1-to-2 ARHGEF10,ARHGEF10L Rho guanine nucleotide exchange factor 10"	ARHGEF10/ARHGEF10L	"ARHGEF10,ARHGEF10L"	"ARHGEF10,ARHGEF10L"	TRUE	2	3	1	(Tryptamine_15min vs DMSO_15min) against (Tryptamine_3min vs DMSO_3min); Tryptamine_15min vs DMSO_15min; Tryptamine_30min vs DMSO_30min	TRUE		TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
